#,Group,Type,Name,What it is,Used by,My proposal,Why,Your decision
1,A. Unused fields,Field,Form_Response__c.Account__c,Lookup to an Account,Nothing (new or old build),Delete,"Responses already store their record in Related_Record_Id__c + Related_Record_Type__c, which works for any object",Delete
2,A. Unused fields,Field,Form_Response__c.Campaign__c,Lookup to a Campaign,Nothing (new or old build),Delete,"Responses already store their record in Related_Record_Id__c + Related_Record_Type__c, which works for any object",Delete
3,A. Unused fields,Field,Form_Response__c.Case__c,Lookup to a Case,Nothing (new or old build),Delete,"Responses already store their record in Related_Record_Id__c + Related_Record_Type__c, which works for any object",Delete
4,A. Unused fields,Field,Form_Response__c.Contact__c,Lookup to a Contact,Nothing (new or old build),Delete,"Responses already store their record in Related_Record_Id__c + Related_Record_Type__c, which works for any object",Delete
5,A. Unused fields,Field,Form_Response__c.Lead__c,Lookup to a Lead,Nothing (new or old build),Delete,"Responses already store their record in Related_Record_Id__c + Related_Record_Type__c, which works for any object",Delete
6,A. Unused fields,Field,Form_Response__c.Opportunity__c,Lookup to an Opportunity,Nothing (new or old build),Delete,"Responses already store their record in Related_Record_Id__c + Related_Record_Type__c, which works for any object",Delete
7,A. Unused fields,Field,Form_Response__c.Primary_Record_Id__c,A record ID stored as text,Nothing (new or old build),Delete,"Responses already store their record in Related_Record_Id__c + Related_Record_Type__c, which works for any object",Delete
8,A. Unused fields,Field,Form__c.Default_Owner_Id__c,Default owner for records a form creates,Nothing (new or old build),Delete,Never wired up,"Keep, we will discuss"
9,A. Unused fields,Field,Form__c.Global_Styles_JSON__c,Old global style storage,Nothing (new or old build),Delete,Themes live in the spec now,Delete
10,A. Unused fields,Field,Form_Response_Answer__c.Lookup_Reference_Id__c,Record ID picked in a lookup answer,Nothing (new or old build),Delete,Answer value already holds the ID,Delete
11,A. Unused fields,Field,Form_Response_Answer__c.Sentiment_Label__c,Reserved for AI sentiment on answers,Nothing yet,Your call,"Reserved for DEFERRED #11 (Agentforce sentiment, parked). Keep if that feature is coming; delete if not","Keep, we will discuss"
12,A. Unused fields,Field,Form_Response_Answer__c.Sentiment_Score__c,Reserved for AI sentiment on answers,Nothing yet,Your call,"Reserved for DEFERRED #11 (Agentforce sentiment, parked). Keep if that feature is coming; delete if not","Keep, we will discuss"
13,A. Unused fields,Field,Form_Response_Answer__c.Sentiment_Source__c,Reserved for AI sentiment on answers,Nothing yet,Your call,"Reserved for DEFERRED #11 (Agentforce sentiment, parked). Keep if that feature is coming; delete if not","Keep, we will discuss"
14,A. Unused fields,Field,Form__c.Allowed_Adapters__c,"Multi-select ""where may this form appear""; only the Public_Guest value is read",Public guest access toggle; public site gate; archive/delete,Replace with checkbox Form__c.Is_Public__c,One yes/no question needs one yes/no field. Alternative: keep the field and remove the next 3 values,"Keep, we will discuss"
15,A. Unused fields,Picklist value,Form__c.Allowed_Adapters__c = Internal_Record_Page,Stamped on imported forms; never checked,Nothing reads it,Remove (only if you keep Allowed_Adapters__c),Dead value,"Keep, we will discuss"
16,A. Unused fields,Picklist value,Form__c.Allowed_Adapters__c = Flow_Screen,"Never set, never checked; conflicts with the ""no Flow component"" ruling",Nothing reads it,Remove (only if you keep Allowed_Adapters__c),Dead value,"Keep, we will discuss"
17,A. Unused fields,Picklist value,Form__c.Allowed_Adapters__c = Embedded,"Never set, never checked",Nothing reads it,Remove (only if you keep Allowed_Adapters__c),Dead value,"Keep, we will discuss"
